station_id,station_name,road_id,sample_id,distance_m,lng_bd09,lat_bd09,heading,image_path,human_label,clip_positive_score,clip_suspected_score,clip_keep_score,clip_negative_score,clip_invalid_score,clip_margin,clip_hard_negative_score,clip_final_score,clip_global_keep_score,clip_crop_keep_score,clip_global_final_score,clip_crop_final_score,clip_best_crop,clip_pred,clip_error
NanJing_LBY,蔚来能源充电站南京绿博园,NanJing_LBY_R001,NanJing_LBY_R001_0000_H000,0.0,118.721024,32.032063,0,images/NanJing_LBY_R001_0000_H000.jpg,suspected,0.266930,0.280253,0.280253,0.256302,0.325598,0.023951,0.253081,0.153712,0.244028,0.280253,0.111292,0.153712,r1_c2,keep,
NanJing_LBY,蔚来能源充电站南京绿博园,NanJing_LBY_R001,NanJing_LBY_R001_0000_H090,0.0,118.721024,32.032063,90,images/NanJing_LBY_R001_0000_H090.jpg,suspected,0.227460,0.242101,0.242101,0.227604,0.304964,0.014497,0.207849,0.133428,0.237353,0.242101,0.133428,0.122304,r1_c1,keep,
NanJing_LBY,蔚来能源充电站南京绿博园,NanJing_LBY_R001,NanJing_LBY_R001_0000_H180,0.0,118.721024,32.032063,180,images/NanJing_LBY_R001_0000_H180.jpg,negative,0.254124,0.282666,0.282666,0.237892,0.300449,0.044774,0.217747,0.173793,0.282666,0.275881,0.173793,0.152535,r1_c2,keep,
NanJing_LBY,蔚来能源充电站南京绿博园,NanJing_LBY_R001,NanJing_LBY_R001_0000_H270,0.0,118.721024,32.032063,270,images/NanJing_LBY_R001_0000_H270.jpg,negative,0.262663,0.278991,0.278991,0.217040,0.190191,0.061951,0.234494,0.161744,0.206243,0.278991,0.111323,0.161744,r1_c2,keep,
NanJing_LBY,蔚来能源充电站南京绿博园,NanJing_LBY_R001,NanJing_LBY_R001_0020_H000,20.0,118.721081,32.032208,0,images/NanJing_LBY_R001_0020_H000.jpg,invalid,0.251639,0.264173,0.264173,0.207124,0.308982,0.057049,0.205929,0.161208,0.216365,0.264173,0.108320,0.161208,r1_c2,keep,
NanJing_LBY,蔚来能源充电站南京绿博园,NanJing_LBY_R001,NanJing_LBY_R001_0020_H090,20.0,118.721081,32.032208,90,images/NanJing_LBY_R001_0020_H090.jpg,invalid,0.223266,0.236320,0.236320,0.214238,0.307697,0.022082,0.194697,0.138971,0.227338,0.236320,0.133292,0.138971,r1_c1,keep,
NanJing_LBY,蔚来能源充电站南京绿博园,NanJing_LBY_R001,NanJing_LBY_R001_0020_H180,20.0,118.721081,32.032208,180,images/NanJing_LBY_R001_0020_H180.jpg,invalid,0.300757,0.317475,0.317475,0.220501,0.334692,0.096974,0.294755,0.170097,0.199971,0.317475,0.097387,0.170097,r1_c2,keep,
NanJing_LBY,蔚来能源充电站南京绿博园,NanJing_LBY_R001,NanJing_LBY_R001_0020_H270,20.0,118.721081,32.032208,270,images/NanJing_LBY_R001_0020_H270.jpg,invalid,0.301195,0.317819,0.317819,0.304416,0.284779,0.013403,0.276500,0.179569,0.304678,0.317819,0.141638,0.179569,r1_c1,keep,
NanJing_LBY,蔚来能源充电站南京绿博园,NanJing_LBY_R001,NanJing_LBY_R001_0040_H000,40.0,118.721097,32.03236,0,images/NanJing_LBY_R001_0040_H000.jpg,suspected,0.219292,0.234112,0.234112,0.214973,0.323714,0.019139,0.208495,0.129864,0.234112,0.231757,0.129864,0.127556,r1_c2,keep,
NanJing_LBY,蔚来能源充电站南京绿博园,NanJing_LBY_R001,NanJing_LBY_R001_0040_H090,40.0,118.721097,32.03236,90,images/NanJing_LBY_R001_0040_H090.jpg,suspected,0.228519,0.239969,0.239969,0.231082,0.293660,0.008887,0.188774,0.144418,0.238805,0.239969,0.144418,0.133237,r1_c1,keep,
NanJing_LBY,蔚来能源充电站南京绿博园,NanJing_LBY_R001,NanJing_LBY_R001_0040_H180,40.0,118.721097,32.03236,180,images/NanJing_LBY_R001_0040_H180.jpg,invalid,0.256309,0.279462,0.279462,0.237425,0.330944,0.042038,0.247376,0.155774,0.235046,0.279462,0.113312,0.155774,r1_c2,keep,
NanJing_LBY,蔚来能源充电站南京绿博园,NanJing_LBY_R001,NanJing_LBY_R001_0040_H270,40.0,118.721097,32.03236,270,images/NanJing_LBY_R001_0040_H270.jpg,invalid,0.256698,0.276837,0.276837,0.252731,0.324593,0.024106,0.262052,0.145811,0.276837,0.236967,0.145811,0.133486,r1_c0,keep,
NanJing_LBY,蔚来能源充电站南京绿博园,NanJing_LBY_R001,NanJing_LBY_R001_0060_H000,60.0,118.721094,32.032512,0,images/NanJing_LBY_R001_0060_H000.jpg,positive,0.273489,0.283807,0.283807,0.236363,0.305609,0.047444,0.267934,0.149840,0.229430,0.283807,0.110923,0.149840,r1_c2,keep,
NanJing_LBY,蔚来能源充电站南京绿博园,NanJing_LBY_R001,NanJing_LBY_R001_0060_H090,60.0,118.721094,32.032512,90,images/NanJing_LBY_R001_0060_H090.jpg,positive,0.260584,0.269938,0.269938,0.245983,0.301416,0.023955,0.229149,0.140078,0.254652,0.269938,0.140078,0.134784,r1_c1,keep,
NanJing_LBY,蔚来能源充电站南京绿博园,NanJing_LBY_R001,NanJing_LBY_R001_0060_H180,60.0,118.721094,32.032512,180,images/NanJing_LBY_R001_0060_H180.jpg,negative,0.243247,0.255452,0.255452,0.253287,0.325655,0.002165,0.237093,0.136905,0.250367,0.255452,0.129596,0.136905,r1_c1,keep,
